"Set","Song"
"Set 1","Punch You in the Eye"
"Set 1","Farmhouse"
"Set 1","Water in the Sky"
"Set 1","Bathtub Gin"
"Set 1","Back on the Train"
"Set 1","If You Need a Fool"
"Set 1","I'm Blue, I'm Lonesome"
"Set 1","Beauty of My Dreams"
"Set 1","The Moma Dance"
"Set 1","Reba"
"Set 1","Chalk Dust Torture"
"Set 2","Runaway Jim"
"Set 2","Free"
"Set 2","Meatstick"
"Set 2","Guyute"
"Set 2","Axilla"
"Set 2","Llama"
"Set 3","My Soul"
"Set 3","Piper"
"Set 3","Prince Caspian"
"Set 3","Wilson"
"Set 3","Catapult"
"Set 3","Icculus"
"Set 3","Smoke on the Water Jam"
"Set 3","Icculus"
"Set 3","Quinn the Eskimo"
"Set 3","Fluffhead"
"Encore","Harry Hood"
