"Set","Song"
"Set 1","Meat"
"Set 1","My Friend, My Friend"
"Set 1","My Left Toe"
"Set 1","Whipping Post"
"Set 1","Makisupa Policeman"
"Set 1","Happy Birthday to You"
"Set 1","Makisupa Policeman"
"Set 1","Saw It Again"
"Set 1","Boogie On Reggae Woman"
"Set 1","Cavern"
"Set 2","Birds of a Feather"
"Set 2","Walk Away"
"Set 2","Run Like an Antelope"
"Set 2","Suzy Greenberg"
"Set 2","Hold Your Head Up"
"Set 2","Purple Rain"
"Set 2","Hold Your Head Up"
"Set 2","You Enjoy Myself"
"Encore","Loving Cup"
