"Set","Song"
"Set 1","NICU"
"Set 1","My Soul"
"Set 1","Dirt"
"Set 1","David Bowie"
"Set 1","Frankie Says"
"Set 1","Possum"
"Set 1","When the Circus Comes"
"Set 1","Gotta Jibboo"
"Set 1","Fluffhead"
"Set 2","Boogie On Reggae Woman"
"Set 2","Heavy Things"
"Set 2","Tube"
"Set 2","Back on the Train"
"Set 2","Mike's Song"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","Prince Caspian"
"Set 2","Golgi Apparatus"
"Set 2","Weekapaug Groove"
"Encore","Rocky Top"
"Encore","I Am Hydrogen"
"Encore","Julius"
