"Set","Song"
"Set 1","My Friend, My Friend"
"Set 1","Ya Mar"
"Set 1","Axilla (Part II)"
"Set 1","Maze"
"Set 1","Bathtub Gin"
"Set 1","Jump Monk"
"Set 1","Bathtub Gin"
"Set 1","Dog Faced Boy"
"Set 1","Paul and Silas"
"Set 1","It's Ice"
"Set 1","Slave to the Traffic Light"
"Set 2","Demand"
"Set 2","David Bowie"
"Set 2","The Mango Song"
"Set 2","Julius"
"Set 2","Colonel Forbin's Ascent"
"Set 2","Fly Famous Mockingbird"
"Set 2","Chalk Dust Torture"
"Set 2","Contact"
"Set 2","Good Times Bad Times"
"Encore","Sweet Adeline"
