"Set","Song"
"Set 1","My Friend, My Friend"
"Set 1","Poor Heart"
"Set 1","Down with Disease"
"Set 1","Fee"
"Set 1","NICU"
"Set 1","Horn"
"Set 1","The Old Home Place"
"Set 1","Reba"
"Set 1","Somewhere Over the Rainbow"
"Set 1","Reba"
"Set 1","Axilla (Part II)"
"Set 1","David Bowie"
"Set 2","Split Open and Melt"
"Set 2","The Lizards"
"Set 2","Bouncing Around the Room"
"Set 2","It's Ice"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Julius"
"Set 2","The Squirming Coil"
"Set 2","Run Like an Antelope"
"Set 2","Suzy Greenberg"
"Encore","Fire"
