"Set","Song"
"Set 1","Divided Sky"
"Set 1","Guelah Papyrus"
"Set 1","Halley's Comet"
"Set 1","Down with Disease"
"Set 1","Sparkle"
"Set 1","Julius"
"Set 1","I Didn't Know"
"Set 1","David Bowie"
"Set 2","Nellie Kane"
"Set 2","Split Open and Melt"
"Set 2","Esther"
"Set 2","Chalk Dust Torture"
"Set 2","Horn"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Run Like an Antelope"
"Set 2","Free Bird"
"Encore","Wilson"
"Encore","Golgi Apparatus"
"Encore","Rocky Top"
"Encore 2","Jam"
"Encore 2","Harry Hood"
"Encore 2","Good Times Bad Times"
