Set,Song
Set 1,Simple
Set 1,It's Ice
Set 1,NICU
Set 1,Run Like an Antelope
Set 1,Guyute
Set 1,Dog Faced Boy
Set 1,Scent of a Mule
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,Runaway Jim
Set 2,Rift
Set 2,Bouncing Around the Room
Set 2,Reba
Set 2,Axilla (Part II)
Set 2,You Enjoy Myself
Set 2,The Vibration of Life
Set 2,You Enjoy Myself
Set 2,Hold Your Head Up
Set 2,Cracklin' Rosie
Set 2,Hold Your Head Up
Set 2,David Bowie
Encore,Nellie Kane
Encore,Beaumont Rag
Encore,Foreplay/Long Time
Encore,Amazing Grace
