"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","Down with Disease"
"Set 1","Guyute"
"Set 1","Paul and Silas"
"Set 1","Axilla (Part II)"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","Run Like an Antelope"
"Set 1","I'm Blue, I'm Lonesome"
"Set 1","Little Tiny Butter Biscuits"
"Set 1","My Long Journey Home"
"Set 2","Suzy Greenberg"
"Set 2","Sparkle"
"Set 2","You Enjoy Myself"
"Set 2","The Vibration of Life"
"Set 2","You Enjoy Myself"
"Set 2","Hold Your Head Up"
"Set 2","Cracklin' Rosie"
"Set 2","Hold Your Head Up"
"Set 2","Harry Hood"
"Set 2","Amazing Grace"
"Set 2","Good Times Bad Times"
"Encore","The Squirming Coil"
