"Set","Song"
"Set 1","Wilson"
"Set 1","Rift"
"Set 1","AC/DC Bag"
"Set 1","Maze"
"Set 1","The Mango Song"
"Set 1","Down with Disease"
"Set 1","It's Ice"
"Set 1","Dog Faced Boy"
"Set 1","Divided Sky"
"Set 1","Sample in a Jar"
"Set 2","Peaches en Regalia"
"Set 2","David Bowie"
"Set 2","Mind Left Body Jam"
"Set 2","David Bowie"
"Set 2","Horn"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","Tweezer"
"Set 2","Lifeboy"
"Set 2","You Enjoy Myself"
"Set 2","Chalk Dust Torture"
"Encore","Bouncing Around the Room"
"Encore","Tweezer Reprise"
