"Set","Song"
"Set 1","NO2"
"Set 1","Rift"
"Set 1","Julius"
"Set 1","NICU"
"Set 1","Stash"
"Set 1","The Mango Song"
"Set 1","Sample in a Jar"
"Set 1","Scent of a Mule"
"Set 1","Tela"
"Set 1","Chalk Dust Torture"
"Set 2","Suzy Greenberg"
"Set 2","Maze"
"Set 2","Sparkle"
"Set 2","Bathtub Gin"
"Set 2","Axilla (Part II)"
"Set 2","You Enjoy Myself"
"Set 2","Hold Your Head Up"
"Set 2","Cracklin' Rosie"
"Set 2","Hold Your Head Up"
"Set 2","Harry Hood"
"Set 2","Golgi Apparatus"
"Encore","Highway to Hell"
