Set,Song
Set 1,My Friend, My Friend
Set 1,Sparkle
Set 1,Simple
Set 1,Runaway Jim
Set 1,Foam
Set 1,Lawn Boy
Set 1,Split Open and Melt
Set 1,Buffalo Bill
Set 1,Makisupa Policeman
Set 1,Rift
Set 2,Down with Disease
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Sparks
Set 2,Uncle Pen
Set 2,You Enjoy Myself
Set 2,Hold Your Head Up
Set 2,Bike
Set 2,Hold Your Head Up
Set 2,Run Like an Antelope
Set 2,Sleeping Monkey
Set 2,Run Like an Antelope
Encore,Harry Hood
