"Set","Song"
"Set 1","Fee"
"Set 1","Divided Sky"
"Set 1","Wilson"
"Set 1","Peaches en Regalia"
"Set 1","Glide"
"Set 1","Split Open and Melt"
"Set 1","Dog Faced Boy"
"Set 1","Sparkle"
"Set 1","Down with Disease"
"Set 2","Also Sprach Zarathustra"
"Set 2","Simple"
"Set 2","Poor Heart"
"Set 2","Julius"
"Set 2","You Enjoy Myself"
"Set 2","The Vibration of Life"
"Set 2","You Enjoy Myself"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","Harry Hood"
"Set 2","Cavern"
"Encore","My Sweet One"
"Encore","Nellie Kane"
"Encore","Amazing Grace"
"Encore","Highway to Hell"
