Set,Song
Set 1,Maze
Set 1,Glide
Set 1,Foam
Set 1,I Didn't Know
Set 1,Punch You in the Eye
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,Down with Disease
Set 1,If I Could
Set 1,Lawn Boy
Set 1,Llama
Set 2,Split Open and Melt
Set 2,McGrupp and the Watchful Hosemasters
Set 2,It's Ice
Set 2,Digital Delay Loop Jam
Set 2,It's Ice
Set 2,Sparkle
Set 2,Harry Hood
Set 2,Bouncing Around the Room
Set 2,Big Ball Jam
Set 2,David Bowie
Set 2,Suzy Greenberg
Encore,Contact
Encore,Big Black Furry Creature from Mars
