"Set","Song"
"Set 1","Sample in a Jar"
"Set 1","Uncle Pen"
"Set 1","Fast Enough for You"
"Set 1","Maze"
"Set 1","Guyute"
"Set 1","I Didn't Know"
"Set 1","Split Open and Melt"
"Set 1","Sweet Adeline"
"Set 2","Peaches en Regalia"
"Set 2","Mound"
"Set 2","Tweezer"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","Makisupa Policeman"
"Set 2","NICU"
"Set 2","Tweezer"
"Set 2","Jesus Just Left Chicago"
"Set 2","Harry Hood"
"Set 2","Golgi Apparatus"
"Encore","Sleeping Monkey"
"Encore","Tweezer Reprise"
