"Set","Song"
"Set 1","Down with Disease"
"Set 1","Gumbo"
"Set 1","Rift"
"Set 1","Guelah Papyrus"
"Set 1","Split Open and Melt"
"Set 1","Glide"
"Set 1","Scent of a Mule"
"Set 1","Bouncing Around the Room"
"Set 1","Frankenstein"
"Set 2","Wilson"
"Set 2","Maze"
"Set 2","You Enjoy Myself"
"Set 2","Yerushalayim Shel Zahav"
"Set 2","You Enjoy Myself"
"Set 2","Sparkle"
"Set 2","Axilla (Part II)"
"Set 2","Harpua"
"Set 2","Kung"
"Set 2","Harpua"
"Set 2","Honky Tonk Women"
"Set 2","Harpua"
"Set 2","Run Like an Antelope"
"Set 2","Hold Your Head Up"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","Chalk Dust Torture"
"Encore","Sleeping Monkey"
"Encore","Poor Heart"
