"Set","Song"
"Set 1","Buried Alive"
"Set 1","Poor Heart"
"Set 1","Sample in a Jar"
"Set 1","Divided Sky"
"Set 1","Wolfman's Brother"
"Set 1","Dinner and a Movie"
"Set 1","Stash"
"Set 1","Ginseng Sullivan"
"Set 1","Julius"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Esther"
"Set 2","Cavern"
"Set 2","Reba"
"Set 2","Jesus Just Left Chicago"
"Set 2","Scent of a Mule"
"Set 2","Big Ball Jam"
"Set 2","Hold Your Head Up"
"Set 2","Terrapin"
"Set 2","Hold Your Head Up"
"Set 2","Slave to the Traffic Light"
"Encore","Golgi Apparatus"
