Set,Song
Set 1,Bouncing Around the Room
Set 1,Rift
Set 1,Julius
Set 1,Fee
Set 1,Maze
Set 1,Gumbo
Set 1,The Curtain
Set 1,Dog Faced Boy
Set 1,Stash
Set 1,The Squirming Coil
Set 2,Suzy Greenberg
Set 2,Run Like an Antelope
Set 2,Colonel Forbin's Ascent
Set 2,Fly Famous Mockingbird
Set 2,Kung
Set 2,Fly Famous Mockingbird
Set 2,Big Ball Jam
Set 2,Down with Disease
Set 2,Contact
Set 2,Big Black Furry Creature from Mars
Set 2,Purple Rain
Set 2,Hold Your Head Up
Set 2,Golgi Apparatus
Encore,Ginseng Sullivan
Encore,Amazing Grace
Encore,Good Times Bad Times
