"Set","Song"
"Set 1","Demand"
"Set 1","The Curtain With"
"Set 1","Alumni Blues"
"Set 1","Letter to Jimmy Page"
"Set 1","Alumni Blues"
"Set 1","Fuck Your Face"
"Set 1","Cry Baby Cry"
"Set 1","Sing Monica"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","The Very Long Fuse"
"Set 1","Big Black Furry Creature from Mars"
"Set 1","Walk Away"
"Set 1","Sanity"
"Set 1","David Bowie"
"Set 2","No Men In No Man's Land"
"Set 2","Mike's Song"
"Set 2","Fee"
"Set 2","Seven Below"
"Set 2","Waiting All Night"
"Set 2","Gotta Jibboo"
"Set 2","Miss You"
"Set 2","Weekapaug Groove"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Julius"
"Encore","Wading in the Velvet Sea"
"Encore","Character Zero"
