Set,Song
Set 1,Tweezer
Set 1,Sample in a Jar
Set 1,The Old Home Place
Set 1,Wolfman's Brother
Set 1,Bouncing Around the Room
Set 1,Undermind
Set 1,Kill Devil Falls
Set 1,Lawn Boy
Set 1,Ass Handed
Set 1,Party Time
Set 1,The Line
Set 1,Tide Turns
Set 1,Rift
Set 1,Walls of the Cave
Set 2,Crosseyed and Painless
Set 2,What's the Use?
Set 2,No Men In No Man's Land
Set 2,Stash
Set 2,Ghost
Set 2,Chalk Dust Torture
Set 2,Meatstick
Set 2,Also Sprach Zarathustra
Set 2,Cavern
Encore,Makisupa Policeman
Encore,Wilson
Encore,Good Times Bad Times
