Set,Song
Set 1,The Moma Dance
Set 1,Sample in a Jar
Set 1,Paul and Silas
Set 1,Yarmouth Road
Set 1,Kill Devil Falls
Set 1,Horn
Set 1,Halfway to the Moon
Set 1,Heavy Things
Set 1,Blaze On
Set 1,Stash
Set 1,Cavern
Set 1,Run Like an Antelope
Set 2,Axilla
Set 2,Fuego
Set 2,Back on the Train
Set 2,Saw It Again
Set 2,Prince Caspian
Set 2,Waves
Set 2,Joy
Set 2,The Wedge
Set 2,Scent of a Mule
Set 2,Rock and Roll
Set 2,You Enjoy Myself
Encore,Boogie On Reggae Woman
Encore,Bouncing Around the Room
Encore,Golgi Apparatus
