"Set","Song"
"Set 1","Buried Alive"
"Set 1","AC/DC Bag"
"Set 1","The Moma Dance"
"Set 1","Uncle Pen"
"Set 1","555"
"Set 1","Sleep Again"
"Set 1","It's Ice"
"Set 1","Driver"
"Set 1","Sand"
"Set 1","Horn"
"Set 1","Halfway to the Moon"
"Set 1","Bathtub Gin"
"Set 2","Blaze On"
"Set 2","Backwards Down the Number Line"
"Set 2","Carini"
"Set 2","Birds of a Feather"
"Set 2","Wingsuit"
"Set 2","Shade"
"Set 2","Mike's Song"
"Set 2","Farmhouse"
"Set 2","Weekapaug Groove"
"Set 2","Shine a Light"
"Encore","Hold Your Head Up"
"Encore","Love You"
"Encore","Hold Your Head Up"
"Encore","Harry Hood"
"Encore","Tweezer Reprise"
