"Set","Song"
"Set 1","I Am Hydrogen"
"Set 1","Don't Want You No More"
"Set 1","Cities"
"Set 1","Wild Child"
"Set 1","Slave to the Traffic Light"
"Set 1","Jam"
"Set 1","Alumni Blues"
"Set 1","Letter to Jimmy Page"
"Set 1","Alumni Blues"
"Set 1","Mike's Song"
"Set 1","Dave's Energy Guide"
"Set 1","Big Leg Emma"
"Set 1","Revolution"
"Set 1","Anarchy"
"Set 1","I Wish"
"Set 1","Camel Walk"
"Set 1","Run Like an Antelope"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","Makisupa Policeman"
"Set 3","Quinn the Eskimo"
