correct,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/batch_size,config/hidden_layers,config/hidden_nodes,config/learning_rate,config/sequence_length,logdir
3.260869565217391,13.127076864242554,False,,,10,a7ce39785e5143dd8c23f5d5bb450077,2021-02-04_17-50-39,1612482639,134.6302170753479,1908,DESKTOP-702HOAM,192.168.0.81,134.6302170753479,0,10,77853148,4,2,64,0.09080293860014539,200,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_77853148_1_batch_size=4,hidden_layers=2,hidden_nodes=64,learning_rate=0.090803,sequence_length=200_2021-02-04_17-48-23"
3.1739130434782608,12.186615467071531,False,,,10,5553e34181004f26b9ff97dc2efb08c6,2021-02-04_17-52-52,1612482772,131.28757286071777,14900,DESKTOP-702HOAM,192.168.0.81,131.28757286071777,0,10,778ed2b2,4,1,32,0.11719004845544931,100,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_778ed2b2_2_batch_size=4,hidden_layers=1,hidden_nodes=32,learning_rate=0.11719,sequence_length=100_2021-02-04_17-50-39"
3.1739130434782608,12.813376903533936,False,,,10,cec922388aea46a6a711a0065000d8c3,2021-02-04_17-55-06,1612482906,132.370619058609,13196,DESKTOP-702HOAM,192.168.0.81,132.370619058609,0,10,c8be5ce6,16,2,32,0.0858118928354755,200,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_c8be5ce6_3_batch_size=16,hidden_layers=2,hidden_nodes=32,learning_rate=0.085812,sequence_length=200_2021-02-04_17-52-52"
2.9565217391304346,11.82076621055603,False,,,10,bac5c60b568f410e93dc665c0a55a97a,2021-02-04_17-58-09,1612483089,181.53046464920044,5772,DESKTOP-702HOAM,192.168.0.81,181.53046464920044,0,10,17fd654f,16,1,256,0.08864593028435008,150,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_17fd654f_4_batch_size=16,hidden_layers=1,hidden_nodes=256,learning_rate=0.088646,sequence_length=150_2021-02-04_17-55-06"
3.3043478260869565,12.296862125396729,False,,,10,88bd26d3560c44959b5222589329567e,2021-02-04_18-00-16,1612483216,125.6733944416046,12768,DESKTOP-702HOAM,192.168.0.81,125.6733944416046,0,10,67eabc2f,4,1,32,0.11186131894263568,50,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_67eabc2f_5_batch_size=4,hidden_layers=1,hidden_nodes=32,learning_rate=0.11186,sequence_length=50_2021-02-04_17-58-09"
3.5217391304347827,11.957311630249023,False,,,10,a9e5521e66e740efacea5aff9fd0e328,2021-02-04_18-02-20,1612483340,122.23125267028809,8808,DESKTOP-702HOAM,192.168.0.81,122.23125267028809,0,10,d51b5b13,4,1,256,0.05646762474179288,150,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_d51b5b13_6_batch_size=4,hidden_layers=1,hidden_nodes=256,learning_rate=0.056468,sequence_length=150_2021-02-04_18-00-16"
3.4347826086956523,13.091731786727903,False,,,10,68fa3f4966bf4c45b7cf9462f64e1500,2021-02-04_18-04-36,1612483476,134.2500410079956,1696,DESKTOP-702HOAM,192.168.0.81,134.2500410079956,0,10,20fd7291,8,2,128,0.07329698821143905,100,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_20fd7291_7_batch_size=8,hidden_layers=2,hidden_nodes=128,learning_rate=0.073297,sequence_length=100_2021-02-04_18-02-20"
2.782608695652174,13.098636150360107,False,,,10,7e98f00418504471a12bd2da0cfbc48c,2021-02-04_18-06-54,1612483614,135.8634374141693,10632,DESKTOP-702HOAM,192.168.0.81,135.8634374141693,0,10,6ad1b970,4,2,256,0.1271697706335449,150,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_6ad1b970_8_batch_size=4,hidden_layers=2,hidden_nodes=256,learning_rate=0.12717,sequence_length=150_2021-02-04_18-04-36"
3.4130434782608696,12.995762825012209,False,,,10,8ec6f2b688844f6185b08a0d42fa0ca1,2021-02-04_18-09-15,1612483755,135.53443789482117,2192,DESKTOP-702HOAM,192.168.0.81,135.53443789482117,0,10,bbd592aa,8,2,64,0.10385396479318357,100,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_bbd592aa_9_batch_size=8,hidden_layers=2,hidden_nodes=64,learning_rate=0.10385,sequence_length=100_2021-02-04_18-06-54"
3.891304347826087,11.914904117584229,False,,,10,68c941753ecc44719bc50322108d17b8,2021-02-04_18-11-24,1612483884,122.71177840232848,10652,DESKTOP-702HOAM,192.168.0.81,122.71177840232848,0,10,0dc85158,8,1,128,0.10780706200654386,100,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_0dc85158_10_batch_size=8,hidden_layers=1,hidden_nodes=128,learning_rate=0.10781,sequence_length=100_2021-02-04_18-09-15"
