"Set","Song"
"Set 1","Fire"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","Shaggy Dog"
"Set 1","Golgi Apparatus"
"Set 1","Alumni Blues"
"Set 1","Letter to Jimmy Page"
"Set 1","Alumni Blues"
"Set 1","Peaches en Regalia"
"Set 1","Phase Dance"
"Set 1","Dear Mrs. Reagan"
"Set 1","I Didn't Know"
"Set 1","David Bowie"
"Set 2","Happy Birthday to You"
"Set 2","AC/DC Bag"
"Set 2","Timber (Jerry The Mule)"
"Set 2","Flat Fee"
"Set 2","Fee"
"Set 2","Possum"
"Set 2","The Lizards"
"Set 2","Fly Famous Mockingbird"
"Set 2","Whipping Post"
"Set 3","Suzy Greenberg"
"Set 3","The Man Who Stepped Into Yesterday"
"Set 3","Avenu Malkenu"
"Set 3","The Man Who Stepped Into Yesterday"
"Set 3","Clod"
"Set 3","Bundle of Joy"
"Set 3","The Curtain With"
"Set 3","The Ballad of Curtis Loew"
"Set 3","Good Times Bad Times"
