Set,Song
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,The Man Who Stepped Into Yesterday
Set 1,Flat Fee
Set 1,The Lizards
Set 1,McGrupp and the Watchful Hosemasters
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,The Sloth
Set 1,Take the 'A' Train
Set 1,Poor Heart
Set 1,Peaches en Regalia
Set 1,David Bowie
Set 2,Camel Walk
Set 2,The Curtain
Set 2,Wilson
Set 2,No Dogs Allowed
Set 2,Dog Log
Set 2,Suzy Greenberg
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Satin Doll
Set 2,Possum
Set 3,Big Leg Emma
Set 3,Fee
Set 3,Run Like an Antelope
Set 3,Rocky Top
Set 3,Tela
Set 3,Dear Mrs. Reagan
Encore,Fluffhead
