Set,Song
Set 1,Slave to the Traffic Light
Set 1,Funky Bitch
Set 1,Take the 'A' Train
Set 1,Golgi Apparatus
Set 1,Phase Dance
Set 1,Fire
Set 1,You Enjoy Myself
Set 2,Fluffhead
Set 2,Wilson
Set 2,Peaches en Regalia
Set 2,Divided Sky
Set 2,The Lizards
Set 2,Run Like an Antelope
Set 3,The Sloth
Set 3,Flat Fee
Set 3,Dinner and a Movie
Set 3,Alumni Blues
Set 3,Letter to Jimmy Page
Set 3,Alumni Blues
Set 3,Harry Hood
Set 3,Bike
Set 3,Fee
Set 3,Jesus Just Left Chicago
Set 3,Big Black Furry Creature from Mars
