Set,Song
Set 1,The Curtain With
Set 1,Rocky Top
Set 1,Funky Bitch
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Peaches en Regalia
Set 1,Golgi Apparatus
Set 1,Sneakin' Sally Through the Alley
Set 1,Suzy Greenberg
Set 1,Fire
Set 2,Jesus Just Left Chicago
Set 2,Fluffhead
Set 2,Whipping Post
Set 3,Ya Mar
Set 3,Jam
Set 3,Halley's Comet
Set 3,The Sloth
Set 3,I Didn't Know
Set 3,La Grange
Set 3,Fee
Set 3,I Know a Little
Set 3,Big Black Furry Creature from Mars
Set 3,Corinna
Set 3,Harpua
Set 3,Run Like an Antelope
