"Set","Song"
"Set 1","Funky Bitch"
"Set 1","Golgi Apparatus"
"Set 1","Peaches en Regalia"
"Set 1","Take the 'A' Train"
"Set 1","Possum"
"Set 1","Phase Dance"
"Set 1","Good Times Bad Times"
"Set 1","Skin It Back"
"Set 1","David Bowie"
"Set 2","Wilson"
"Set 2","I Didn't Know"
"Set 2","Fluffhead"
"Set 2","Fire"
"Set 2","Fee"
"Set 2","You Enjoy Myself"
"Set 2","Divided Sky"
"Set 2","AC/DC Bag"
"Set 2","Whipping Post"
"Set 2","Slave to the Traffic Light"
"Encore","Big Black Furry Creature from Mars"
