"Set","Song"
"Set 1","You Enjoy Myself"
"Set 1","Satin Doll"
"Set 1","Walk Away"
"Set 1","Sneakin' Sally Through the Alley"
"Set 1","The Curtain With"
"Set 1","Fire"
"Set 2","Suzy Greenberg"
"Set 2","Skin It Back"
"Set 2","Jesus Just Left Chicago"
"Set 2","Dinner and a Movie"
"Set 2","The Sloth"
"Set 2","Icculus"
"Set 2","Colonel Forbin's Ascent"
"Set 2","Fly Famous Mockingbird"
"Set 2","I Didn't Know"
"Set 2","Good Times Bad Times"
"Set 3","Rocky Top"
"Set 3","Light Up Or Leave Me Alone"
"Set 3","Contact"
"Set 3","Whipping Post"
"Set 3","The Ballad of Curtis Loew"
"Set 3","Take the 'A' Train"
"Set 3","McGrupp and the Watchful Hosemasters"
"Set 3","Bold As Love"
