Set,Song
Set 1,Possum
Set 1,On Your Way Down
Set 1,Sneakin' Sally Through the Alley
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Good Times Bad Times
Set 2,Suzy Greenberg
Set 2,Light Up Or Leave Me Alone
Set 2,Fee
Set 2,La Grange
Set 2,Take the 'A' Train
Set 2,Whipping Post
Set 2,The Lizards
Set 2,I Know a Little
Set 2,You Enjoy Myself
Set 2,Jesus Just Left Chicago
Set 3,Peaches en Regalia
Set 3,Mike's Song
Set 3,I Am Hydrogen
Set 3,Fluffhead
Set 3,Harry Hood
Set 3,Satin Doll
Set 3,Funky Bitch
Set 3,Walk Away
