"Set","Song"
"Set 1","Fire"
"Set 1","Golgi Apparatus"
"Set 1","Fluffhead"
"Set 1","Possum"
"Set 1","Fee"
"Set 1","Alumni Blues"
"Set 1","Letter to Jimmy Page"
"Set 1","Alumni Blues"
"Set 1","Good Times Bad Times"
"Set 2","Time Loves a Hero"
"Set 2","Walk Away"
"Set 2","The Lizards"
"Set 2","Shaggy Dog"
"Set 2","Whipping Post"
"Set 2","Contact"
"Set 2","Bold As Love"
"Set 2","Take the 'A' Train"
"Set 2","Run Like an Antelope"
"Set 3","Suzy Greenberg"
"Set 3","Foam"
"Set 3","I Didn't Know"
"Set 3","Big Black Furry Creature from Mars"
"Set 3","Harpua"
"Set 3","David Bowie"
