"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","On Your Way Down"
"Set 1","Alumni Blues"
"Set 1","Letter to Jimmy Page"
"Set 1","Alumni Blues"
"Set 1","You Enjoy Myself"
"Set 1","Wilson"
"Set 1","Peaches en Regalia"
"Set 1","La Grange"
"Set 1","Take the 'A' Train"
"Set 1","Divided Sky"
"Set 1","Bold As Love"
"Set 2","David Bowie"
"Set 2","The Lizards"
"Set 2","Walk Away"
"Set 2","Possum"
"Set 2","Fee"
"Set 2","Sparks"
"Set 2","Whipping Post"
"Set 3","Good Times Bad Times"
"Set 3","Fluffhead"
"Set 3","The Curtain"
"Set 3","AC/DC Bag"
"Set 3","Dinner and a Movie"
"Set 3","Contact"
"Set 3","Big Black Furry Creature from Mars"
