Set,Song
Set 1,Funky Bitch
Set 1,Mustang Sally
Set 1,AC/DC Bag
Set 1,Possum
Set 1,Jesus Just Left Chicago
Set 1,Sneakin' Sally Through the Alley
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Take the 'A' Train
Set 1,Good Times Bad Times
Set 2,Wilson
Set 2,Slave to the Traffic Light
Set 2,Corinna
Set 2,Fire
Set 2,Fluffhead
Set 2,Divided Sky
Set 2,The Ballad of Curtis Loew
Set 2,You Enjoy Myself
Set 2,The Sloth
Set 2,Whipping Post
Set 3,Fee
Set 3,The Lizards
Set 3,Suzy Greenberg
Set 3,Golgi Apparatus
Set 3,Bike
Set 3,Big Black Furry Creature from Mars
Set 3,Camel Walk
Set 3,Harry Hood
