Set,Song
Set 1,Sigma Oasis
Set 1,Buried Alive
Set 1,Guelah Papyrus
Set 1,My Sweet One
Set 1,Everything is Hollow
Set 1,The Curtain
Set 1,Mound
Set 1,Brian and Robert
Set 1,Crazy Sometimes
Set 1,Frost
Set 1,Breath and Burning
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,It's Ice
Set 1,Walls of the Cave
Set 2,After Midnight
Set 2,Stealing Time From the Faulty Plan
Set 2,Energy
Set 2,Soul Planet
Set 2,Wingsuit
Set 2,I Always Wanted It This Way
Set 2,Petrichor
Set 2,Boogie On Reggae Woman
Set 2,Rise/Come Together
Encore,Pebbles and Marbles
Encore,Beneath a Sea of Stars Part 1
Encore,Izabella
Encore,Chalk Dust Torture Reprise
