Set,Song
Set 1,Stray Dog
Set 1,Stealing Time From the Faulty Plan
Set 1,Turtle in the Clouds
Set 1,Wolfman's Brother
Set 1,Birds of a Feather
Set 1,We Are Come to Outlive Our Brains
Set 1,Taste
Set 1,My Friend, My Friend
Set 1,Twenty Years Later
Set 1,Sparkle
Set 1,Crazy Sometimes
Set 1,Bathtub Gin
Set 2,Sightless Escape
Set 2,Fuego
Set 2,Piper
Set 2,Tweezer
Set 2,Also Sprach Zarathustra
Set 2,Chalk Dust Torture
Set 2,Waste
Set 2,Cavern
Set 2,First Tube
Encore,The Horse
Encore,Silent in the Morning
Encore,A Life Beyond The Dream
Encore,Tweezer Reprise
