"Set","Song"
"Set 1","The Curtain With"
"Set 1","Fast Enough for You"
"Set 1","Buried Alive"
"Set 1","Camel Walk"
"Set 1","Reba"
"Set 1","Sample in a Jar"
"Set 1","Pebbles and Marbles"
"Set 1","Tela"
"Set 1","The Mango Song"
"Set 1","Driver"
"Set 1","David Bowie"
"Set 2","Mr. Completely"
"Set 2","Twenty Years Later"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","Tweezer"
"Set 2","Shade"
"Set 2","Most Events Aren't Planned"
"Set 2","Makisupa Policeman"
"Set 2","Chalk Dust Torture"
"Set 2","Suzy Greenberg"
"Encore","Punch You in the Eye"
"Encore","What's the Use?"
"Encore","Julius"
