"Set","Song"
"Set 1","The Landlady"
"Set 1","Olivia's Pool"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Meatstick"
"Set 1","Vultures"
"Set 1","Spock's Brain"
"Set 1","Pebbles and Marbles"
"Set 1","Glide"
"Set 1","About to Run"
"Set 1","Strange Design"
"Set 1","Timber (Jerry The Mule)"
"Set 1","I Didn't Know"
"Set 1","Good Times Bad Times"
"Set 2","Mercury"
"Set 2","Ruby Waves"
"Set 2","Twist"
"Set 2","Swept Away"
"Set 2","Steep"
"Set 2","Death Don't Hurt Very Long"
"Set 2","Icculus"
"Set 2","Buffalo Bill"
"Set 2","Icculus Reprise"
"Set 2","You Enjoy Myself"
"Set 2","Catapult"
"Set 2","Contact"
"Set 2","You Enjoy Myself"
"Encore","More"
"Encore","Tweezer Reprise"
