"Set","Song"
"Set 1","Turtle in the Clouds"
"Set 1","Punch You in the Eye"
"Set 1","Llama"
"Set 1","Meat"
"Set 1","The Old Home Place"
"Set 1","Lawn Boy"
"Set 1","I Didn't Know"
"Set 1","Maze"
"Set 1","Horn"
"Set 1","Gotta Jibboo"
"Set 1","Stash"
"Set 1","Plasma"
"Set 1","Golgi Apparatus"
"Set 2","Bathtub Gin"
"Set 2","Alaska"
"Set 2","What's the Use?"
"Set 2","Piper"
"Set 2","Golden Age"
"Set 2","Plasma"
"Set 2","Harry Hood"
"Encore","Big Black Furry Creature from Mars"
"Encore","Kung"
"Encore","Wombat"
"Encore","Possum"
"Encore","Plasma"
