Set,Song
Set 1,Buried Alive
Set 1,Cavern
Set 1,Dogs Stole Things
Set 1,Sugar Shack
Set 1,Stash
Set 1,Wingsuit
Set 1,Limb By Limb
Set 1,Gumbo
Set 1,Stray Dog
Set 1,Steam
Set 1,David Bowie
Set 2,Party Time
Set 2,Chalk Dust Torture
Set 2,Ruby Waves
Set 2,Seven Below
Set 2,Stealing Time From the Faulty Plan
Set 2,Piper
Set 2,Ruby Waves
Set 2,I Always Wanted It This Way
Set 2,Drift While You're Sleeping
Encore,Bouncing Around the Room
Encore,Saw It Again
Encore,Kung
Encore,Saw It Again
Encore,Slave to the Traffic Light
