Set,Song
Set 1,Martian Monster
Set 1,Buried Alive
Set 1,AC/DC Bag
Set 1,Halley's Comet
Set 1,Prince Caspian
Set 1,Sparkle
Set 1,Axilla
Set 1,Maze
Set 1,Fluffhead
Set 1,Rise/Come Together
Set 2,Punch You in the Eye
Set 2,Wolfman's Brother
Set 2,Light
Set 2,Twist
Set 2,Soul Planet
Set 2,Mercury
Set 2,Possum
Set 3,Send in the Clowns
Set 3,First Tube
Set 3,Auld Lang Syne
Set 3,Sand
Set 3,Drift While You're Sleeping
Set 3,What's the Use?
Set 3,You Enjoy Myself
Encore,Tweezer Reprise
Encore,Rescue Squad
