"Set","Song"
"Set 1","Carolina"
"Set 1","Party Time"
"Set 1","Strawberry Letter 23"
"Set 1","Undermind"
"Set 1","I Been Around"
"Set 1","Divided Sky"
"Set 1","The Sloth"
"Set 1","Destiny Unbound"
"Set 1","We Are Come to Outlive Our Brains"
"Set 1","My Friend, My Friend"
"Set 1","About to Run"
"Set 1","The Horse"
"Set 1","Silent in the Morning"
"Set 1","David Bowie"
"Set 2","Axilla"
"Set 2","Scents and Subtle Sounds"
"Set 2","No Quarter"
"Set 2","Your Pet Cat"
"Set 2","Mercury"
"Set 2","Saw It Again"
"Set 2","Limb By Limb"
"Set 2","The Lizards"
"Set 2","Suzy Greenberg"
"Encore","Bittersweet Motel"
"Encore","Death Don't Hurt Very Long"
"Encore","Loving Cup"
