Set,Song
Set 1,Alumni Blues
Set 1,Makisupa Policeman
Set 1,Skin It Back
Set 1,Cities
Set 1,I Am Hydrogen
Set 1,McGrupp and the Watchful Hosemasters
Set 1,AC/DC Bag
Set 1,You Enjoy Myself
Set 1,Lushington
Set 2,Peaches en Regalia
Set 2,Golgi Apparatus
Set 2,Swing Low, Sweet Chariot
Set 2,Camel Walk
Set 2,Shaggy Dog
Set 2,Mustang Sally
Set 2,Fluffhead
Set 2,Sneakin' Sally Through the Alley
Set 2,Wilson
Set 2,Slave to the Traffic Light
Set 2,Quinn the Eskimo
Set 2,Mike's Song
Set 2,Have Mercy
Set 2,Harry Hood
Set 3,Roll Like a Cantaloupe
Set 3,Sanity
Set 3,Anarchy
Encore,Clod
