Set,Song
Set 1,Chalk Dust Torture
Set 1,Sparkle
Set 1,Cavern
Set 1,The Curtain
Set 1,Split Open and Melt
Set 1,The Squirming Coil
Set 1,My Sweet One
Set 1,Guelah Papyrus
Set 1,Rhombus Narration
Set 1,Divided Sky
Set 1,Lawn Boy
Set 1,Golgi Apparatus
Set 2,Llama
Set 2,Bathtub Gin
Set 2,Poor Heart
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Eliza
Set 2,Tube
Set 2,The Landlady
Set 2,Destiny Unbound
Set 2,Harry Hood
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Bouncing Around the Room
Set 2,Possum
Encore,Highway to Hell
Encore,Suzy Greenberg
