"Set","Song"
"Set 1","Llama"
"Set 1","Uncle Pen"
"Set 1","Divided Sky"
"Set 1","Guelah Papyrus"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","Stash"
"Set 1","Rocky Top"
"Set 1","Golgi Apparatus"
"Set 2","The Landlady"
"Set 2","Runaway Jim"
"Set 2","You Enjoy Myself"
"Set 2","Fluffhead"
"Set 2","Cavern"
"Set 2","Tela"
"Set 2","Buried Alive"
"Set 2","Reba"
"Set 2","My Sweet One"
"Set 2","Good Times Bad Times"
"Encore","Contact"
"Encore","Big Black Furry Creature from Mars"
"Encore","The Squirming Coil"
