"Set","Song"
"Set 1","Llama"
"Set 1","The Curtain"
"Set 1","Golgi Apparatus"
"Set 1","Reba"
"Set 1","Dinner and a Movie"
"Set 1","The Sloth"
"Set 1","Runaway Jim"
"Set 1","The Squirming Coil"
"Set 1","David Bowie"
"Set 2","My Sweet One"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Guelah Papyrus"
"Set 2","The Landlady"
"Set 2","Esther"
"Set 2","Split Open and Melt"
"Set 2","Bouncing Around the Room"
"Set 2","Love You"
"Set 2","Whole Lotta Love Jam"
"Set 2","Love You"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Rocky Top"
"Encore","Magilla"
"Encore","Fire"
