Set,Song
Set 1,Bouncing Around the Room
Set 1,Foam
Set 1,Chalk Dust Torture
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,The Man Who Stepped Into Yesterday
Set 1,Divided Sky
Set 1,Fee
Set 1,Paul and Silas
Set 1,Tweezer
Set 1,The Lizards
Set 1,Sweet Adeline
Set 2,AC/DC Bag
Set 2,The Curtain
Set 2,The Sloth
Set 2,The Landlady
Set 2,Runaway Jim
Set 2,Tela
Set 2,You Enjoy Myself
Set 2,Harpua
Set 2,Tweezer Reprise
Encore,Take the 'A' Train
Encore,Big Black Furry Creature from Mars
