"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Foam"
"Set 1","Runaway Jim"
"Set 1","Guelah Papyrus"
"Set 1","Suzy Greenberg"
"Set 1","Stash"
"Set 1","Take the 'A' Train"
"Set 1","Cavern"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Llama"
"Set 2","Reba"
"Set 2","Poor Heart"
"Set 2","Split Open and Melt"
"Set 2","The Lizards"
"Set 2","The Landlady"
"Set 2","I Didn't Know"
"Set 2","Possum"
"Encore","Alumni Blues"
"Encore","Letter to Jimmy Page"
"Encore","Alumni Blues"
