Set,Song
Set 1,Wilson
Set 1,Foam
Set 1,Runaway Jim
Set 1,Guelah Papyrus
Set 1,Llama
Set 1,Fee
Set 1,The Squirming Coil
Set 1,Poor Heart
Set 1,The Sloth
Set 1,Divided Sky
Set 1,Golgi Apparatus
Set 2,The Curtain
Set 2,Reba
Set 2,Chalk Dust Torture
Set 2,Bouncing Around the Room
Set 2,Tweezer
Set 2,Esther
Set 2,Cavern
Set 2,I Didn't Know
Set 2,You Enjoy Myself
Set 2,Rocky Top
Set 3,Stash
Set 3,Ya Mar
Set 3,Fluffhead
Set 3,Lawn Boy
Set 3,My Sweet One
Set 3,The Lizards
Set 3,Buried Alive
Set 3,Possum
Encore,Magilla
Encore,Self
Encore,Bitchin' Again
Encore,Crimes of the Mind
Encore 2,Harry Hood
