Set,Song
Set 1,The Mango Song
Set 1,The Sloth
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,The Man Who Stepped Into Yesterday
Set 1,Runaway Jim
Set 1,Foam
Set 1,Guelah Papyrus
Set 1,My Sweet One
Set 1,Tweezer
Set 1,Reba
Set 1,Chalk Dust Torture
Set 2,Golgi Apparatus
Set 2,Buried Alive
Set 2,Fluffhead
Set 2,The Landlady
Set 2,Bouncing Around the Room
Set 2,Harry Hood
Set 2,Cavern
Set 2,Let's Go
Set 2,Love You
Set 2,Let's Go
Set 2,The Squirming Coil
Set 2,Llama
Encore,Lawn Boy
Encore,Suzy Greenberg
Encore 2,Contact
Encore 2,Rocky Top
