Set,Song
Set 1,Wilson
Set 1,Uncle Pen
Set 1,Llama
Set 1,Reba
Set 1,Foam
Set 1,Tube
Set 1,Sparkle
Set 1,Brother
Set 1,The Mango Song
Set 1,Golgi Apparatus
Set 1,Runaway Jim
Set 2,Dinner and a Movie
Set 2,Roll Like a Cantaloupe
Set 2,Fee
Set 2,Paul and Silas
Set 2,It's Ice
Set 2,Glide
Set 2,Tweezer
Set 2,Take the 'A' Train
Set 2,Hold Your Head Up
Set 2,If I Only Had a Brain
Set 2,Hold Your Head Up
Set 2,The Lizards
Set 2,Tweezer Reprise
Encore,Bouncing Around the Room
Encore,Good Times Bad Times
Encore 2,You Enjoy Myself
