"Set","Song"
"Set 1","Cavern"
"Set 1","Divided Sky"
"Set 1","I Didn't Know"
"Set 1","It's Ice"
"Set 1","Poor Heart"
"Set 1","The Landlady"
"Set 1","Destiny Unbound"
"Set 1","You Enjoy Myself"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 2","Brother"
"Set 2","Bouncing Around the Room"
"Set 2","Eliza"
"Set 2","Foam"
"Set 2","Reba"
"Set 2","The Sloth"
"Set 2","The Squirming Coil"
"Set 2","My Sweet One"
"Set 2","Golgi Apparatus"
"Set 2","David Bowie"
"Encore","Memories"
"Encore","Rocky Top"
