"Set","Song"
"Set 1","The Landlady"
"Set 1","Suzy Greenberg"
"Set 1","It's Ice"
"Set 1","Runaway Jim"
"Set 1","Foam"
"Set 1","Chalk Dust Torture"
"Set 1","Bouncing Around the Room"
"Set 1","My Sweet One"
"Set 1","Stash"
"Set 1","Golgi Apparatus"
"Set 2","Llama"
"Set 2","Bathtub Gin"
"Set 2","Sparkle"
"Set 2","Tweezer"
"Set 2","Horn"
"Set 2","Poor Heart"
"Set 2","You Enjoy Myself"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Hold Your Head Up"
"Set 2","Terrapin"
"Set 2","Hold Your Head Up"
"Set 2","Harry Hood"
"Encore","Good Times Bad Times"
