"Set","Song"
"Set 1","The Curtain"
"Set 1","Runaway Jim"
"Set 1","Foam"
"Set 1","Sparkle"
"Set 1","Llama"
"Set 1","Reba"
"Set 1","Tube"
"Set 1","You Enjoy Myself"
"Set 1","Horn"
"Set 1","Brother"
"Set 1","Sweet Adeline"
"Set 2","Chalk Dust Torture"
"Set 2","Fluffhead"
"Set 2","Poor Heart"
"Set 2","It's Ice"
"Set 2","Tweezer"
"Set 2","Tela"
"Set 2","The Landlady"
"Set 2","Hold Your Head Up"
"Set 2","Terrapin"
"Set 2","Hold Your Head Up"
"Set 2","My Sweet One"
"Set 2","Tweezer Reprise"
"Encore","Glide"
"Encore","Possum"
