Set,Song
Set 1,Dinner and a Movie
Set 1,Bouncing Around the Room
Set 1,Buried Alive
Set 1,Flat Fee
Set 1,Reba
Set 1,The Landlady
Set 1,Bathtub Gin
Set 1,Donna Lee
Set 1,AC/DC Bag
Set 1,Rocky Top
Set 1,Cavern
Set 1,David Bowie
Set 2,Golgi Apparatus
Set 2,The Squirming Coil
Set 2,Moose the Mooche
Set 2,Tweezer
Set 2,My Sweet One
Set 2,Gumbo
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Hold Your Head Up
Set 2,Touch Me
Set 2,Hold Your Head Up
Set 2,The Oh Kee Pa Ceremony
Set 2,Suzy Greenberg
Encore,Sweet Adeline
Encore,Frankenstein
Encore 2,Fee
Encore 2,Tweezer Reprise
