"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Reba"
"Set 1","My Sweet One"
"Set 1","Foam"
"Set 1","Suzy Greenberg"
"Set 1","Cavern"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Buried Alive"
"Set 1","Bouncing Around the Room"
"Set 1","The Landlady"
"Set 1","Golgi Apparatus"
"Set 2","Stash"
"Set 2","Dinner and a Movie"
"Set 2","You Enjoy Myself"
"Set 2","Flat Fee"
"Set 2","Funky Bitch"
"Set 2","The Squirming Coil"
"Set 2","Tweezer"
"Set 2","Sweet Adeline"
"Set 2","The Lizards"
"Set 2","Happy Birthday to You"
"Set 2","Tweezer Reprise"
"Encore","Lawn Boy"
"Encore","Frankenstein"
"Encore 2","Split Open and Melt"
