Set,Song
Set 1,Llama
Set 1,Reba
Set 1,The Landlady
Set 1,Runaway Jim
Set 1,Cavern
Set 1,Poor Heart
Set 1,Brother
Set 1,The Squirming Coil
Set 1,Dinner and a Movie
Set 1,Bouncing Around the Room
Set 1,David Bowie
Set 2,My Sweet One
Set 2,Stash
Set 2,The Mango Song
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Sparkle
Set 2,The Lizards
Set 2,Chalk Dust Torture
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Golgi Apparatus
Encore,Sweet Adeline
Encore,Suzy Greenberg
