"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Foam"
"Set 1","The Squirming Coil"
"Set 1","My Sweet One"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","Stash"
"Set 1","Flat Fee"
"Set 1","Bouncing Around the Room"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Llama"
"Set 2","Reba"
"Set 2","Cavern"
"Set 2","The Lizards"
"Set 2","The Landlady"
"Set 2","Tweezer"
"Set 2","Sweet Adeline"
"Set 2","Dinner and a Movie"
"Set 2","Gumbo"
"Set 2","Touch Me"
"Encore","Caravan"
"Encore","Golgi Apparatus"
