"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Reba"
"Set 1","Buried Alive"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","My Sweet One"
"Set 1","Stash"
"Set 1","The Squirming Coil"
"Set 1","Runaway Jim"
"Set 1","Guelah Papyrus"
"Set 1","David Bowie"
"Set 2","Llama"
"Set 2","The Mango Song"
"Set 2","Cavern"
"Set 2","Lawn Boy"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Horn"
"Set 2","Bouncing Around the Room"
"Set 2","The Lizards"
"Set 2","Run Like an Antelope"
"Encore","Magilla"
"Encore","La Grange"
