Set,Song
Set 1,Chalk Dust Torture
Set 1,Foam
Set 1,Paul and Silas
Set 1,Split Open and Melt
Set 1,Bouncing Around the Room
Set 1,The Landlady
Set 1,Runaway Jim
Set 1,It's Ice
Set 1,Eliza
Set 1,Llama
Set 1,Memories
Set 1,Golgi Apparatus
Set 2,Brother
Set 2,Reba
Set 2,Poor Heart
Set 2,Cavern
Set 2,Run Like an Antelope
Set 2,I Didn't Know
Set 2,Sparkle
Set 2,The Oh Kee Pa Ceremony
Set 2,Suzy Greenberg
Set 2,Fee
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Encore,The Squirming Coil
Encore,Fire
