"Set","Song"
"Set 1","Suzy Greenberg"
"Set 1","Foam"
"Set 1","Divided Sky"
"Set 1","Bouncing Around the Room"
"Set 1","Poor Heart"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","AC/DC Bag"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Brother"
"Set 1","Hold Your Head Up"
"Set 1","Terrapin"
"Set 1","Hold Your Head Up"
"Set 1","Golgi Apparatus"
"Set 2","My Sweet One"
"Set 2","Stash"
"Set 2","Fee"
"Set 2","The Landlady"
"Set 2","Destiny Unbound"
"Set 2","Harry Hood"
"Set 2","I Didn't Know"
"Set 2","Cavern"
"Set 2","The Squirming Coil"
"Set 2","Rocky Top"
"Encore","Sweet Adeline"
"Encore","Possum"
"Encore","Llama"
