Set,Song
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,Divided Sky
Set 1,Flat Fee
Set 1,My Sweet One
Set 1,Stash
Set 1,The Lizards
Set 1,The Landlady
Set 2,Dinner and a Movie
Set 2,Cavern
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Hold Your Head Up
Set 2,Touch Me
Set 2,Hold Your Head Up
Set 2,Frankenstein
Encore,Contact
Encore,Big Black Furry Creature from Mars
