"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","I Didn't Know"
"Set 1","Llama"
"Set 1","The Lizards"
"Set 1","Paul and Silas"
"Set 1","Foam"
"Set 1","Tweezer"
"Set 1","Dinner and a Movie"
"Set 1","Bouncing Around the Room"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Chalk Dust Torture"
"Set 2","Take the 'A' Train"
"Set 2","My Sweet One"
"Set 2","Stash"
"Set 2","Esther"
"Set 2","The Landlady"
"Set 2","Destiny Unbound"
"Set 2","Fee"
"Set 2","David Bowie"
"Encore","Cavern"
"Encore","Rocky Top"
