Set,Song
Set 1,Runaway Jim
Set 1,Foam
Set 1,My Sweet One
Set 1,The Landlady
Set 1,The Mango Song
Set 1,Split Open and Melt
Set 1,Bouncing Around the Room
Set 1,Possum
Set 1,The Squirming Coil
Set 1,Golgi Apparatus
Set 2,Chalk Dust Torture
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Tweezer
Set 2,Tweezer Reprise
Set 2,Guelah Papyrus
Set 2,Uncle Pen
Set 2,Cavern
Set 2,Let's Go
Set 2,Love You
Set 2,Let's Go
Set 2,The Lizards
Set 2,The Sloth
Set 2,Destiny Unbound
Set 2,You Enjoy Myself
Encore,AC/DC Bag
