"Set","Song"
"Set 1","Wilson"
"Set 1","Foam"
"Set 1","Divided Sky"
"Set 1","Cavern"
"Set 1","The Squirming Coil"
"Set 1","Tweezer"
"Set 1","Dinner and a Movie"
"Set 1","Bouncing Around the Room"
"Set 1","Buried Alive"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Golgi Apparatus"
"Set 2","The Landlady"
"Set 2","Reba"
"Set 2","Llama"
"Set 2","Guelah Papyrus"
"Set 2","Runaway Jim"
"Set 2","The Sloth"
"Set 2","Possum"
"Set 2","Hold Your Head Up"
"Set 2","Love You"
"Set 2","Whole Lotta Love Jam"
"Set 2","Hold Your Head Up"
"Set 2","David Bowie"
"Encore","The Oh Kee Pa Ceremony"
"Encore","Suzy Greenberg"
